t_seconds,strip,ink,occluded
400.0,3,0.11227,1
400.0,4,0.10568,1
400.0,5,0.09279,1
400.0,6,0.09589,1
400.0,7,0.14229,1
405.0,0,0.18766,1
405.0,1,0.16812,1
405.0,2,0.12065,1
405.0,3,0.11432,1
405.0,4,0.10607,1
405.0,5,0.11523,1
405.0,6,0.08617,1
405.0,7,0.14305,1
410.0,0,0.18854,1
410.0,1,0.16021,1
410.0,2,0.1243,1
410.0,3,0.11688,1
410.0,4,0.10474,1
410.0,5,0.11448,1
410.0,6,0.08669,1
410.0,7,0.14414,1
415.0,0,0.24422,1
415.0,1,0.15531,0
415.0,2,0.10971,0
415.0,3,0.11167,0
415.0,4,0.14081,1
415.0,5,0.13979,1
415.0,6,0.12812,1
415.0,7,0.11182,1
420.0,0,0.23089,1
420.0,1,0.13625,0
420.0,2,0.08992,0
420.0,3,0.13685,1
420.0,4,0.14102,1
420.0,5,0.12898,1
420.0,6,0.12312,1
420.0,7,0.11672,1
425.0,0,0.12151,1
425.0,1,0.1463,1
425.0,2,0.16964,1
425.0,3,0.11063,1
425.0,4,0.11914,0
425.0,5,0.12802,0
425.0,6,0.13268,0
425.0,7,0.10372,1
430.0,0,0.10911,1
430.0,1,0.21266,1
430.0,2,0.14604,0
430.0,3,0.09336,0
430.0,4,0.12125,0
430.0,5,0.13112,0
430.0,6,0.1318,0
430.0,7,0.1075,1
435.0,0,0.13562,0
435.0,1,0.13797,1
435.0,2,0.16167,1
435.0,3,0.14557,1
435.0,4,0.1726,1
435.0,5,0.13917,1
435.0,6,0.15607,1
435.0,7,0.15047,1
440.0,0,0.13435,0
440.0,1,0.1399,1
440.0,2,0.16448,1
440.0,3,0.15872,1
440.0,4,0.17049,1
440.0,5,0.14656,1
440.0,6,0.15956,1
440.0,7,0.15576,1
445.0,0,0.08672,1
445.0,1,0.09044,1
445.0,2,0.14922,1
445.0,3,0.10341,1
445.0,4,0.1076,0
445.0,5,0.11682,0
445.0,6,0.11802,0
445.0,7,0.09732,1
450.0,0,0.10698,1
450.0,1,0.22055,1
450.0,2,0.14922,1
450.0,3,0.08753,1
450.0,4,0.1207,1
450.0,5,0.12836,0
450.0,6,0.13229,0
450.0,7,0.11182,1
455.0,0,0.10992,1
455.0,1,0.12174,1
455.0,2,0.10547,1
455.0,3,0.09391,0
455.0,4,0.12732,0
455.0,5,0.13104,0
455.0,6,0.12596,0
455.0,7,0.10372,1
460.0,0,0.10294,1
460.0,1,0.17586,1
460.0,2,0.10161,1
460.0,3,0.16083,1
460.0,4,0.11904,0
460.0,5,0.12914,0
460.0,6,0.13065,0
460.0,7,0.10573,1
465.0,0,0.23081,1
465.0,1,0.14005,0
465.0,2,0.16896,1
465.0,3,0.07133,1
465.0,4,0.12612,1
465.0,5,0.17661,1
465.0,6,0.10924,0
465.0,7,0.10099,0
470.0,0,0.13685,1
470.0,1,0.1256,1
470.0,2,0.15604,1
470.0,3,0.12315,0
470.0,4,0.15419,1
470.0,5,0.16419,1
470.0,6,0.11922,0
470.0,7,0.10799,1
475.0,0,0.23237,1
475.0,1,0.14977,0
475.0,2,0.14854,0
475.0,3,0.12617,0
475.0,4,0.15193,1
475.0,5,0.16372,1
475.0,6,0.12458,0
475.0,7,0.10979,1
480.0,0,0.14865,1
480.0,1,0.14234,1
480.0,2,0.16328,1
480.0,3,0.12289,0
480.0,4,0.14591,1
